interface removed, generator,# affected nodes, solution, # reachable nodes, interface included, # interface exposed, # violated policies, # nodes exposed
as2border1:Loopback0, complete,15, heimdall_intersect3, 7, 1, 35, 40,7
as2border1:Loopback0, complete,15, heimdall_intersect4, 10, 1, 52, 50,10
as2border1:Loopback0, complete,15, neighbor, 8, 0, 41, 59,8
as2border1:Loopback0, random-2,2, base, 13, 1, 65, 61,13
as2border1:Loopback0, random-2,2, crystal-net, 2, 0, 9, 23,2
as2border1:Loopback0, random-2,2, empty, 0, 0, 0, 0,0
as2border1:Loopback0, random-2,2, heimdall, 13, 1, 65, 61,13
as2border1:Loopback0, random-2,2, heimdall_end_nodes, 8, 1, 38, 41,8
as2border1:Loopback0, random-2,2, heimdall_interface, 30, 0, 29, 41,29
as2border1:Loopback0, random-2,2, heimdall_intersect, 8, 1, 38, 41,8
as2border1:Loopback0, random-2,2, heimdall_intersect2, 8, 1, 38, 41,8
as2border1:Loopback0, random-2,2, neighbor, 2, 0, 9, 23,2
as2border2:GigabitEthernet0/0, complete,14, base, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, complete,14, crystal-net, 11, 1, 57, 64,11
as2border2:GigabitEthernet0/0, complete,14, empty, 0, 0, 0, 0,0
as2border2:GigabitEthernet0/0, complete,14, heimdall, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, complete,14, heimdall_end_nodes, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, complete,14, heimdall_interface, 36, 0, 35, 41,35
as2border2:GigabitEthernet0/0, complete,14, heimdall_intersect, 4, 0, 19, 35,4
as2border2:GigabitEthernet0/0, complete,14, heimdall_intersect2, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, complete,14, heimdall_intersect3, 6, 0, 29, 45,6
as2border2:GigabitEthernet0/0, complete,14, heimdall_intersect4, 10, 1, 51, 60,10
as2border2:GigabitEthernet0/0, complete,14, neighbor, 8, 0, 43, 59,8
as2border2:GigabitEthernet0/0, random-2,2, base, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, random-2,2, crystal-net, 8, 1, 41, 46,8
as2border2:GigabitEthernet0/0, random-2,2, empty, 0, 0, 0, 0,0
as2border2:GigabitEthernet0/0, random-2,2, heimdall, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, random-2,2, heimdall_end_nodes, 13, 1, 65, 66,13
as2border2:GigabitEthernet0/0, random-2,2, heimdall_interface, 36, 0, 35, 41,35
as2border2:GigabitEthernet0/0, random-2,2, heimdall_intersect, 4, 0, 19, 35,4
as2border2:GigabitEthernet0/0, random-2,2, heimdall_intersect2, 4, 0, 19, 35,4
as2border2:GigabitEthernet0/0, random-2,2, neighbor, 4, 0, 21, 22,4
as2border2:GigabitEthernet1/0, complete,6, base, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, complete,6, crystal-net, 7, 1, 38, 53,7
as2border2:GigabitEthernet1/0, complete,6, empty, 0, 0, 0, 0,0
as2border2:GigabitEthernet1/0, complete,6, heimdall, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, complete,6, heimdall_end_nodes, 13, 1, 65, 70,13
as2border2:GigabitEthernet1/0, complete,6, heimdall_interface, 33, 0, 32, 50,32
as2border2:GigabitEthernet1/0, complete,6, heimdall_intersect, 13, 1, 65, 70,13
